CSE|COMPUTER SCIENCE & ENGINEERING
INF|INFORMATION TECHNOLOGY
ECE|ELECTRONICS & COMMUNICATION ENGINEERING
EEE|ELECTRICAL & ELECTRONICS ENGINEERING
MEC|MECHANICAL ENGINEERING
CIV|CIVIL ENGINEERING
CHE|CHEMICAL ENGINEERING
IPE|PRODUCTION / INDUSTRIAL PRODUCTION ENGINEERING
EIE|ELECTRONICS & INSTRUMENTATION ENGINEERING
MET|METALLURGICAL ENGINEERING
PHM|PHARMACY(M.P.C.Stream)
BME|BIO-MEDICAL ENGINEERING
CEE|CIVIL ENVIRONMENTAL ENGINEERING
NMA|NAVAL ARCHITECTURE AND MARINE ENGINEERING
ETM|ELECTRONICS & TELEMATICS
MIN|MINING ENGINEERING
FPT|FOOD PROCESSING TECHNOLOGY
TEX|TEXTILE TECHNOLOGY
CSS|COMPUTER SCIENCE & SYSTEMS ENGINEERING
MMT|METALLURGY AND MATERIAL TECHNOLOGY
ECS|ELECTRONICS AND CONTROL SYSTEMS ENGINEERING
CPE|CHEMICAL PETRO ENGINEERING
ECM|ELECTRONICS & COMPUTER ENGINEERING
IST|INSTRUMENTATION ENGINEERING/TECHNOLOGY
MCT|MECHANICAL (MECHATRONICS)ENGINEERING
AUT|AUTOMOBILE ENGINEERING
AEI|APPLIED ELECTRONICS & INSTRUMENTATION ENGINEERING
ANE|AERONAUTICAL ENGINEERING
BIO|BIO-TECHNOLOGY
ICE|INSTRUMENTATION & CONTROL ENGINEERING
CER|CHEMICAL(CERAMIC )TECHNOLOGY
GIN|GEO-INFORMATICS
PLG|PLANNING
PHB|PHARMACY( Bi.P.C stream )
DRG|DAIRYING
FDS|FOOD SCIENCE
AGR|AGRICULTURAL ENGINEERING
CAB|COMMERCIAL AGRICULTURAL & BUSINESS MGMT.
BTB|BIO-TECHNOLOGY( B.P C.STREAM )
DTD|DIGITAL TECHNIQUES FOR DESIGN AND PLANNING
FSP|FACILITIES AND SERVICES PLANNING
PHD|PHARM.D ( M P C STREAM)
PDB|PHARM.D ( B P C STREAM)